Timestamp,Average Bikes in Use,Average Temperature,Average Wind Speed,Normalised Average Bikes in Use,Normalised Average Temperature,Normalised Average Wind Speed
2019-01-03 09:40:03,13.78,3.48,1.5,0.037287523356685594,0.019128345477816392,0.01696239801092179
2019-01-03 10:00:04,12.48,3.55,1.38,0.03376983247397941,0.019513111047772466,0.015605406170048047
2019-01-03 10:20:03,12.07,3.82,1.11,0.03266040688789515,0.02099720681760305,0.012552174528082128
2019-01-03 10:40:04,11.59,3.92,1.8,0.031361567177357476,0.021546871917540303,0.02035487761310615
2019-01-03 11:00:04,11.67,3.92,1.83,0.03157804046244709,0.021546871917540303,0.020694125573324586
2019-01-03 11:20:03,11.5,4.15,2.22,0.031118034731631664,0.022811101647395984,0.025104349056164255
2019-01-03 11:40:03,11.76,4.39,2.05,0.031821572908172904,0.02413029788724539,0.02318194394825978
2019-01-03 12:00:03,11.76,4.39,2.05,0.031821572908172904,0.02413029788724539,0.02318194394825978
2019-01-03 12:20:03,11.96,4.39,2.6,0.03236275612089694,0.02413029788724539,0.029401489885597775
2019-01-03 12:40:03,12.52,4.29,2.05,0.03387806911652421,0.02358063278730814,0.02318194394825978
2019-01-03 13:00:03,12.52,4.29,2.05,0.03387806911652421,0.02358063278730814,0.02318194394825978
2019-01-03 13:20:03,11.87,4.62,2.1,0.032119223675171116,0.02539452761710107,0.02374735721529051
2019-01-03 13:40:03,11.87,4.62,2.1,0.032119223675171116,0.02539452761710107,0.02374735721529051
2019-01-03 14:00:03,11.87,4.62,2.1,0.032119223675171116,0.02539452761710107,0.02374735721529051
2019-01-03 14:20:03,11.63,4.33,2.21,0.03146980381990229,0.02380049882728304,0.024991266402758106
2019-01-03 14:40:03,12.2,4.39,2.05,0.033012175976165764,0.02413029788724539,0.02318194394825978
2019-01-03 15:00:03,12.17,4.37,2.03,0.03293099849425716,0.02402036486725794,0.02295577864144749
2019-01-03 15:20:04,12.37,4.29,2.49,0.03347218170698119,0.02358063278730814,0.028157580698130177
2019-01-03 15:40:03,12.5,4.48,1.5,0.03382395079525181,0.02462499647718892,0.01696239801092179
2019-01-03 16:00:04,12.5,4.48,1.5,0.03382395079525181,0.02462499647718892,0.01696239801092179
2019-01-03 16:20:03,12.76,4.24,2.53,0.03452748897179305,0.023305800237339514,0.028609911311754752
2019-01-03 16:40:03,12.85,3.87,2.1,0.03477102141751886,0.021272039367571677,0.02374735721529051
2019-01-03 17:00:03,12.85,3.87,2.1,0.03477102141751886,0.021272039367571677,0.02374735721529051
2019-01-03 17:20:03,13.85,3.87,2.13,0.037476937481139005,0.021272039367571677,0.024086605175508945
2019-01-03 17:40:04,13.78,3.87,2.6,0.037287523356685594,0.021272039367571677,0.029401489885597775
2019-01-03 18:00:03,13.78,3.87,2.6,0.037287523356685594,0.021272039367571677,0.029401489885597775
2019-01-03 18:20:03,13.78,3.87,2.6,0.037287523356685594,0.021272039367571677,0.029401489885597775
2019-01-03 18:40:04,15.17,3.83,2.6,0.0410487466851176,0.021052173327596777,0.029401489885597775
2019-01-03 19:00:04,15.17,3.83,2.6,0.0410487466851176,0.021052173327596777,0.029401489885597775
2019-01-03 19:20:03,14.93,3.63,1.57,0.04039932682984876,0.019952843127722268,0.01775397658476481
2019-01-03 19:40:03,15.07,3.66,1.5,0.04077815507875558,0.020117742657703448,0.01696239801092179
2019-01-03 20:00:03,15.07,3.66,1.5,0.04077815507875558,0.020117742657703448,0.01696239801092179
2019-01-03 20:20:04,15.5,3.43,1.57,0.04194169898611225,0.018853512927847767,0.01775397658476481
2019-01-03 20:40:03,15.54,2.88,1.5,0.04204993562865705,0.015830354878192874,0.01696239801092179
2019-01-03 21:00:04,15.54,2.88,1.5,0.04204993562865705,0.015830354878192874,0.01696239801092179
2019-01-03 21:20:04,15.46,2.43,1.5,0.04183346234356744,0.01335686192847524,0.01696239801092179
2019-01-03 21:40:03,15.07,2.43,1.5,0.04077815507875558,0.01335686192847524,0.01696239801092179
2019-01-03 22:00:04,15.07,2.43,1.5,0.04077815507875558,0.01335686192847524,0.01696239801092179
2019-01-03 22:20:03,14.7,2.3,1.12,0.03977696613521613,0.01264229729855681,0.012665257181488273
2019-01-03 22:40:04,14.52,2.31,1.0,0.039289901243764504,0.012697263808550536,0.011308265340614528
2019-01-03 23:00:03,14.57,2.31,1.0,0.03942519704694551,0.012697263808550536,0.011308265340614528
2019-01-03 23:20:03,14.59,2.12,1.54,0.039479315368217915,0.011652900118669757,0.017414728624546374
2019-01-03 23:40:03,14.59,2.12,1.54,0.039479315368217915,0.011652900118669757,0.017414728624546374
2019-01-04 00:00:04,14.54,2.21,0.5,0.0393440195650369,0.012147598708613283,0.005654132670307264
2019-01-04 00:20:03,14.22,2.12,0.5,0.03847812642467846,0.011652900118669757,0.005654132670307264
2019-01-04 00:40:04,14.26,2.12,0.5,0.03858636306722327,0.011652900118669757,0.005654132670307264
2019-01-04 01:00:03,14.28,1.88,1.0,0.038640481388495664,0.01033370387882035,0.011308265340614528
2019-01-04 01:20:03,14.3,1.62,1.16,0.038694599709768074,0.008904574618983493,0.013117587795112852
2019-01-04 01:40:03,14.22,1.57,1.17,0.03847812642467846,0.008629742069014866,0.013230670448518996
2019-01-04 02:00:03,14.26,1.44,1.0,0.03858636306722327,0.007915177439096437,0.011308265340614528
2019-01-04 02:20:03,14.26,1.22,1.01,0.03858636306722327,0.006705914219234482,0.011421347994020673
2019-01-04 02:40:03,14.3,1.22,2.92,0.038694599709768074,0.006705914219234482,0.03302013479459442
2019-01-04 03:00:03,14.3,1.21,1.5,0.038694599709768074,0.006650947709240756,0.01696239801092179
2019-01-04 03:20:03,14.35,1.45,1.43,0.038829895512949075,0.007970143949090163,0.016170819437078775
2019-01-04 03:40:03,14.33,1.44,1.43,0.03877577719167668,0.007915177439096437,0.016170819437078775
2019-01-04 04:00:03,14.33,1.44,0.5,0.03877577719167668,0.007915177439096437,0.005654132670307264
2019-01-04 04:20:03,14.35,1.44,0.5,0.038829895512949075,0.007915177439096437,0.005654132670307264
2019-01-04 04:40:03,14.33,1.22,1.0,0.03877577719167668,0.006705914219234482,0.011308265340614528
2019-01-04 05:00:03,14.85,1.21,1.0,0.04018285354475915,0.006650947709240756,0.011308265340614528
2019-01-04 05:20:03,14.98,1.44,1.5,0.040534622633029774,0.007915177439096437,0.01696239801092179
2019-01-04 05:40:04,14.98,1.44,1.5,0.040534622633029774,0.007915177439096437,0.01696239801092179
2019-01-04 06:00:03,14.89,1.56,1.5,0.04029109018730396,0.008574775559021142,0.01696239801092179
2019-01-04 06:20:03,14.89,1.56,1.5,0.04029109018730396,0.008574775559021142,0.01696239801092179
2019-01-04 06:40:03,15.04,1.36,2.07,0.04069697759684698,0.007475445359146636,0.02340810925507207
2019-01-04 07:00:03,15.04,1.32,1.5,0.04069697759684698,0.007255579319171735,0.01696239801092179
2019-01-04 07:20:03,15.04,1.32,1.5,0.04069697759684698,0.007255579319171735,0.01696239801092179
2019-01-04 07:40:03,15.89,0.26,1.5,0.042997006250924105,0.0014291292598368568,0.01696239801092179
2019-01-04 08:00:03,15.76,0.01,1.5,0.04264523716265348,5.4966509993725265e-05,0.01696239801092179
2019-01-04 08:20:03,15.11,-0.35,2.06,0.04088639172130039,-0.001923827849780384,0.02329502660166593
2019-01-04 08:40:03,15.22,-0.46,1.7,0.04118404248829861,-0.002528459459711362,0.019224051079044697
